"text"	"story"
"1800 Bavaria shared in the Austrian defeat at Hohenlinden and the French"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"occupied Munich. In 1805 the Bavarian Elector was made King of Bavaria by"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Napoleon and stipulated to back up Napoleon in all his wars with a force"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"of 30,000 men. Thus Bavaria became the absolute vassal of the French."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"This was 'TheTime of Germany's Deepest Humiliation', Which is referred"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to again and again by Hitler."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"In 1806 a pamphlet entitled 'Germany's Deepest Humiliation' was"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"published in South Germany. Amnng those who helped to circulate the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"pamphlet was the Nürnberg bookseller, Johannes Philipp Palm. He was"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"denounced to the French by a Bavarian police agent. At his trial he"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"refused to disclose thename of the author. By Napoleon's orders, he was"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"shot at Braunau-on-the-Innon August 26th, 1806. A monument erected to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"him on the site of the executionwas one of the first public objects that"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"made an impression on Hitler asa little boy."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Leo Schlageter's case was in many respects parallel to that of Johannes"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Palm. Schlageter was a German theological student who volunteered for"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"service in 1914. He became an artillery officer and won the Iron Cross of"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"both classes. When the French occupied the Ruhr in 1923 Schlageter helped"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to organize the passive resistance on the German side. He and his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"companions blew up a railway bridge for the purpose of making the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"transport of coal to France more difficult."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Those who took part in the affair were denounced to the French by a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"German informer. Schlageter took the whole responsibility on his own"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"shoulders and was condemned to death, his companions being sentenced to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"various terms of imprisonment and penal servitude by the French Court."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Schlageter refused to disclose the identity of those who issued the order"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to blow up the railway bridge and he would not plead for mercy before a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"French Court. He was shot by a French firing-squad on May 26th, 1923."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Severing was at that time German Minister of the Interior. It is said"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"that representations were made, to himon Schlageter's behalf and that he"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"refused to interfere."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Schlageter has become the chief martyr of the German resistancc to the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"French occupation of the Ruhr and also one of the great heroes of the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"National Socialist Movement. He had joined the Movement at a very early"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"stage, his card of membership bearing the number 61.]"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"In this little town on the Inn, haloed by the memory of a German martyr,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"a town that was Bavarian by blood but under the rule of the Austrian"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"State, my parents were domiciled towards the end of the last century. My"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"father was a civil servant who fulfilled his duties very"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"conscientiously. My mother looked after the household and lovingly"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"devoted herself to the care of her children. From that period I have not"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"retained very much in my memory; because after a few years my father had"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to leave that frontier town which I had come to love so much and take up"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"a new post farther down the Inn valley, at Passau, therefore actually in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Germany itself."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"In those days it was the usual lot of an Austrian civil servant to be"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"transferred periodically from one post to another. Not long after coming"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to Passau my father was transferred to Linz, and while there he retired"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"finally to live on his pension. But this did not mean that the old"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"gentleman would now rest from his labours."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"He was the son of a poor cottager, and while still a boy he grew"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"restless and left home. When he was barely thirteen years old he buckled"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"on his satchel and set forth from his native woodland parish. Despite"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the dissuasion of villagers who could speak from 'experience,' he went"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to Vienna to learn a trade there. This was in the fiftieth year of the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"last century. It was a sore trial, that of deciding to leave home and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"face the unknown, with three gulden in his pocket. By when the boy of"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"thirteen was a lad of seventeen and had passed his apprenticeship"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"examination as a craftsman he was not content. Quite the contrary. The"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"persistent economic depression of that period and the constant want and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"misery strengthened his resolution to give up working at a trade and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"strive for 'something higher.' As a boy it had seemed to him that the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"position of the parish priest in his native village was the highest in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the scale of human attainment; but now that the big city had enlarged"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"his outlook the young man looked up to the dignity of a State official"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"as the highest of all. With the tenacity of one whom misery and trouble"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"had already made old when only half-way through his youth the young man"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"of seventeen obstinately set out on his new project and stuck to it"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"until he won through. He became a civil servant. He was about"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"twenty-three years old, I think, when he succeeded in making himself"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"what he had resolved to become. Thus he was able to fulfil the promise"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"he had made as a poor boy not to return to his native village until he"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was 'somebody.'"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"He had gained his end. But in the village there was nobody who had"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"remembered him as a little boy, and the village itself had become"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"strange to him."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Now at last, when he was fifty-six years old, he gave up his active"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"career; but he could not bear to be idle for a single day. On the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"outskirts of the small market town of Lambach in Upper Austria he bought"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"a farm and tilled it himself. Thus, at the end of a long and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"hard-working career, he came back to the life which his father had led."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"It was at this period that I first began to have ideals of my own. I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"spent a good deal of time scampering about in the open, on the long road"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"from school, and mixing up with some of the roughest of the boys, which"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"caused my mother many anxious moments. All this tended to make me"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"something quite the reverse of a stay-at-home. I gave scarcely any"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"serious thought to the question of choosing a vocation in life; but I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was certainly quite out of sympathy with the kind of career which my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"father had followed. I think that an inborn talent for speaking now"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"began to develop and take shape during the more or less strenuous"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"arguments which I used to have with my comrades. I had become a juvenile"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"ringleader who learned well and easily at school but was rather"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"difficult to manage. In my freetime I practised singing in the choir of"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the monastery church at Lambach, and thus it happened that I was placed"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"in a very favourable position to be emotionally impressed again and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"again by the magnificent splendour of ecclesiastical ceremonial. What"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"could be more natural for me than to look upon the Abbot as representing"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the highest human ideal worth striving for, just as the position of the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"humble village priest had appeared to my father in his own boyhood days?"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"At least, that was my idea for a while. But the juvenile disputes I had"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"with my father did not lead him to appreciate his son's oratorical gifts"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"in such a way as to see in them a favourable promise for such a career,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"and so he naturally could not understand the boyish ideas I had in my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"head at that time. This contradiction in my character made him feel"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"somewhat anxious."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"As a matter of fact, that transitory yearning after such a vocation soon"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"gave way to hopes that were better suited to my temperament. Browsing"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"through my father's books, I chanced to come across some publications"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"that dealt with military subjects. One of these publications was a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"popular history of the Franco-German War of 1870-71. It consisted of two"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"volumes of an illustrated periodical dating from those years. These"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"became my favourite reading. In a little while that great and heroic"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"conflict began to take first place in my mind. And from that time"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"onwards I became more and more enthusiastic about everything that was in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"any way connected with war or military affairs."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"But this story of the Franco-German War had a special significance for"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"me on other grounds also. For the first time, and as yet only in quite a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"vague way, the question began to present itself: Is there a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"difference--and if there be, what is it--between the Germans who fought"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"that war and the other Germans? Why did not Austria also take part in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"it? Why did not my father and all the others fight in that struggle? Are"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"we not the same as the other Germans? Do we not all belong together?"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"That was the first time that this problem began to agitate my small"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"brain. And from the replies that were given to the questions which I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"asked very tentatively, I was forced to accept the fact, though with a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"secret envy, that not all Germans had the good luck to belong to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Bismarck's Empire. This was something that I could not understand."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"It was decided that I should study. Considering my character as a whole,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"and especially my temperament, my father decided that the classical"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"subjects studied at the Lyceum were not suited to my natural talents. He"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"thought that the REALSCHULE (Note 2) would suit me better. My obvious"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"talent for drawing confirmed him in that view; for in his opinion drawing"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was a subject too much neglected in the Austrian GYMNASIUM. Probably also"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the memory of the hard road which he himself had travelled contributed to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"make him look upon classical studies as unpractical and accordingly to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"set little value on them. At the back of his mind he had the idea that"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"his son also should become an official of the Government. Indeed he had"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"decided on that career for me. The difficulties through which he had to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"struggle in making his own career led him to overestimate what he had"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"achieved, because this was exclusively the result of his own"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"indefatigable industry and energy. The characteristic pride of the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"self-made man urged him towards the idea that his son should follow the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"same calling and if possible rise to a higher position in it. Moreover,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"this idea was strengthened by the consideration that the results of his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"own life's industry had placed him in a position to facilitate his son's"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"advancement in the same career."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"[Note 2. Non-classical secondary school. The Lyceum and GYMNASIUM were"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"classical or semi-classical secondary schools.]"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"He was simply incapable of imagining that I might reject what had meant"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"everything in life to him. My father's decision was simple, definite,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"clear and, in his eyes, it was something to be taken for granted. A man"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"of such a nature who had become an autocrat by reason of his own hard"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"struggle for existence, could not think of allowing 'inexperienced' and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"irresponsible young fellows to choose their own careers. To act in such"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"a way, where the future of his own son was concerned, would have been a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"grave and reprehensible weakness in the exercise of parental authority"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"and responsibility, something utterly incompatible with his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"characteristic sense of duty."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"And yet it had to be otherwise."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"For the first time in my life--I was then eleven years old--I felt"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"myself forced into open opposition. No matter how hard and determined my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"father might be about putting his own plans and opinions into action,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"his son was no less obstinate in refusing to accept ideas on which he"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"set little or no value."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"I would not become a civil servant."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"No amount of persuasion and no amount of 'grave' warnings could break"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"down that opposition. I would not become a State official, not on any"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"account. All the attempts which my father made to arouse in me a love or"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"liking for that profession, by picturing his own career for me, had only"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the opposite effect. It nauseated me to think that one day I might be"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"fettered to an office stool, that I could not dispose of my own time but"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"would be forced to spend the whole of my life filling out forms."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"One can imagine what kind of thoughts such a prospect awakened in the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"mind of a young fellow who was by no means what is called a 'good boy'"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"in the current sense of that term. The ridiculously easy school tasks"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"which we were given made it possible for me to spend far more time in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the open air than at home. To-day, when my political opponents pry into"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"my life with diligent scrutiny, as far back as the days of my boyhood,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"so as finally to be able to prove what disreputable tricks this Hitler"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was accustomed to in his young days, I thank heaven that I can look back"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to those happy days and find the memory of them helpful. The fields and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the woods were then the terrain on which all disputes were fought out."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Even attendance at the REALSCHULE could not alter my way of spending my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"time. But I had now another battle to fight."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"So long as the paternal plan to make a State functionary contradicted my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"own inclinations only in the abstract, the conflict was easy to bear. I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"could be discreet about expressing my personal views and thus avoid"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"constantly recurrent disputes. My own resolution not to become a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Government official was sufficient for the time being to put my mind"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"completely at rest. I held on to that resolution inexorably. But the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"situation became more difficult once I had a positive plan of my own"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"which I might present to my father as a counter-suggestion. This"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"happened when I was twelve years old. How it came about I cannot exactly"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"say now; but one day it became clear to me that I would be a painter--I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"mean an artist. That I had an aptitude for drawing was an admitted fact."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"It was even one of the reasons why my father had sent me to the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"REALSCHULE; but he had never thought of having that talent developed in"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"such a way that I could take up painting as a professional career. Quite"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the contrary. When, as a result of my renewed refusal to adopt his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"favourite plan, my father asked me for the first time what I myself"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"really wished to be, the resolution that I had already formed expressed"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"itself almost automatically. For a while my father was speechless. A
painter? An artist-painter? he exclaimed."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"He wondered whether I was in a sound state of mind. He thought that he"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"might not have caught my words rightly, or that he had misunderstood"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"what I meant. But when I had explained my ideas to him and he saw how"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"seriously I took them, he opposed them with that full determination"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"which was characteristic of him. His decision was exceedingly simple and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"could not be deflected from its course by any consideration of what my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"own natural qualifications really were."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Artist! Not as long as I live, never. As the son had inherited some of"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the father's obstinacy, besides having other qualities of his own, my"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"reply was equally energetic. But it stated something quite the contrary."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"At that our struggle became stalemate. The father would not abandon his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"'Never', and I became all the more consolidated in my 'Nevertheless'."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Naturally the resulting situation was not pleasant. The old gentleman"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was bitterly annoyed; and indeed so was I, although I really loved him."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"My father forbade me to entertain any hopes of taking up the art of"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"painting as a profession. I went a step further and declared that I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"would not study anything else. With such declarations the situation"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"became still more strained, so that the old gentleman irrevocably"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"decided to assert his parental authority at all costs. That led me to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"adopt an attitude of circumspect silence, but I put my threat into"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"execution. I thought that, once it became clear to my father that I was"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"making no progress at the REALSCHULE, for weal or for woe, he would be"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"forced to allow me to follow the happy career I had dreamed of."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"I do not know whether I calculated rightly or not. Certainly my failure"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to make progress became quite visible in the school. I studied just the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"subjects that appealed to me, especially those which I thought might be"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"of advantage to me later on as a painter. What did not appear to have"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"any importance from this point of view, or what did not otherwise appeal"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to me favourably, I completely sabotaged. My school reports of that time"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"were always in the extremes of good or bad, according to the subject and"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the interest it had for me. In one column my qualification read 'very"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"good' or 'excellent'. In another it read 'average' or even 'below"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"average'. By far my best subjects were geography and, even more so,"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"general history. These were my two favourite subjects, and I led the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"class in them."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"When I look back over so many years and try to judge the results of that"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"experience I find two very significant facts standing out clearly before"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"my mind."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"First, I became a nationalist."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Second, I learned to understand and grasp the true meaning of history."	"CHAPTER I    IN THE HOME OF MY PARENTS"
